,state,x,y
0,Andhra Pradesh,-94.0,-180.0
1,Arunachal Pradesh,317.0,221.0
2,Assam,276.0,150.0
3,Bihar,86.0,123.0
4,Chhattisgarh,-25.0,12.0
5,Goa,-240.0,-183.0
6,Gujarat,-307.0,51.0
7,Haryana,-169.0,239.0
8,Himachal Pradesh,-148.0,308.0
9,Jammu and Kashmir,-203.0,364.0
10,Jharkhand,64.0,56.0
11,Karnataka,-194.0,-211.0
12,Kerala,-177.0,-321.0
13,Madhya Pradesh,-133.0,58.0
14,Maharashtra,-236.0,-56.0
15,Manipur,306.0,104.0
16,Meghalaya,223.0,122.0
17,Mizoram,280.0,56.0
18,Nagaland,324.0,147.0
19,Odisha,44.0,-31.0
20,Punjab,-194.0,278.0
21,Rajasthan,-237.0,163.0
22,Sikkim,157.0,185.0
23,Tamil Nadu,-115.0,-293.0
24,Telangana,-116.0,-104.0
25,Tripura,246.0,72.0
26,Uttar Pradesh,-72.0,175.0
27,Uttarakhand,-109.0,266.0
28,West Bengal,133.0,51.0
